country,state,city,station,last_update,year,month,hour,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-05-19 10:00:00,2025,5,10,14.675886,77.593027,46.0,8.0,32.0,8.0,64.0,69.0,13.0,456
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-05-19 10:00:00,2025,5,10,13.20488,79.097889,49.0,5.0,21.0,28.0,65.0,72.0,10.0,486
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-05-19 10:00:00,2025,5,10,16.9872867,81.7363176,24.0,2.0,21.0,11.0,36.0,23.0,3.0,257
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",2025-05-19 10:00:00,2025,5,10,13.67,79.35,21.0,1.0,17.0,9.0,40.0,52.0,4.0,238
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-05-19 10:00:00,2025,5,10,13.615387,79.40923,18.0,2.0,8.0,27.0,67.0,94.0,13.0,218
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-05-19 10:00:00,2025,5,10,16.536107,80.594233,41.0,6.0,18.0,8.0,51.0,46.0,20.0,406
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2025-05-19 10:00:00,2025,5,10,16.509717,80.612222,41.0,5.0,43.0,15.0,48.0,50.0,19.0,406
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-05-19 10:00:00,2025,5,10,16.554731,80.64911,26.0,5.0,21.0,22.0,48.0,45.0,21.0,271
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-05-19 10:00:00,2025,5,10,17.72,83.3,13.0,3.0,15.0,18.0,36.0,23.0,9.0,159
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-05-19 10:00:00,2025,5,10,26.071318,91.87488,51.0,4.0,12.0,23.0,90.0,102.0,31.0,175
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-05-19 10:00:00,2025,5,10,26.10887,91.589544,51.0,16.0,19.0,18.0,39.0,46.0,10.0,127
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2025-05-19 10:00:00,2025,5,10,24.82827,92.79525,25.0,1.0,12.0,1.0,60.0,37.0,5.0,264
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-05-19 10:00:00,2025,5,10,26.987634,94.636574,19.0,4.0,22.0,3.0,25.0,23.0,9.0,224
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2025-05-19 10:00:00,2025,5,10,25.5626095,84.663264,18.0,1.0,7.0,10.0,51.0,25.0,9.0,218
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2025-05-19 10:00:00,2025,5,10,24.75746,84.366208,26.0,1.0,8.0,18.0,53.0,39.0,10.0,271
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2025-05-19 10:00:00,2025,5,10,25.42742023,86.13886079,49.0,11.0,73.0,9.0,56.0,40.0,37.0,486
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-05-19 10:00:00,2025,5,10,25.56752,83.966379,27.0,4.0,5.0,5.0,58.0,40.0,7.0,277
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2025-05-19 10:00:00,2025,5,10,24.762518,84.982348,30.0,3.0,18.0,16.0,69.0,52.0,8.0,297
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2025-05-19 10:00:00,2025,5,10,25.697189,85.2459,20.0,5.0,18.0,76.0,54.0,57.0,9.0,231
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2025-05-19 10:00:00,2025,5,10,26.11442,85.39813,21.0,2.0,3.0,42.0,44.0,43.0,3.0,238
